#"Step","Temperature (K)"
701000,296.5174852534809
702000,296.0299973193373
703000,296.6997838653394
704000,298.4104235229135
705000,295.5088392439787
706000,297.98597164924587
707000,295.99305767367315
708000,297.75554660801447
709000,297.27471817142816
710000,296.0253736009272
711000,297.17188712622493
712000,295.8045542075491
713000,296.23177690336087
714000,294.9384683452179
715000,295.2420199862485
716000,297.349001659141
717000,296.55639322159686
718000,297.70665540706517
719000,296.98377050742243
720000,298.1620850492195
721000,297.7007462741202
722000,295.29584761207394
723000,295.4594724455159
724000,295.2574098667834
725000,298.22905343172
726000,295.6164912834423
727000,299.4199162230896
728000,295.27132377678004
729000,296.17744124124783
730000,296.2816078237326
731000,296.0420682207967
732000,296.9054644767387
733000,296.516922520521
734000,294.96508590107993
735000,294.2743325007835
736000,296.6086091692644
737000,296.21019023532233
738000,297.6630492209338
739000,295.2188515724139
740000,295.4388839836614
741000,295.2933689750851
742000,297.7400157639946
743000,297.1035318407563
744000,294.5620879691507
745000,296.98706624371005
746000,295.38978415115326
747000,296.6382989477909
748000,294.88753538498327
749000,296.2002656653565
750000,296.6430009196446
751000,297.85703035849883
752000,294.4998487040445
753000,295.7529288825687
754000,297.1712199500534
755000,297.8514653393828
756000,296.57548196670274
757000,295.90702466163424
758000,298.21993473314774
759000,296.85581915992844
760000,296.56699791019213
761000,297.0574455953308
762000,297.5580464378514
763000,297.0978688610432
764000,295.9709857677843
765000,296.7957489724956
766000,297.82341701609585
767000,298.05535780457416
768000,294.841646971227
769000,294.9413602074729
770000,296.1511749296164
771000,295.35400507644783
772000,295.5909063404281
773000,296.2190061604431
774000,295.3589219281528
775000,297.3745404476698
776000,295.28723475538095
777000,296.9988650585032
778000,295.0534734323058
779000,298.43323957587205
780000,295.464495220251
781000,294.92937262106454
782000,296.83748504358044
783000,296.60791040964733
784000,296.27916566098105
785000,294.8034237676885
786000,299.8929976404455
787000,294.0202927535594
788000,295.09882892340994
789000,296.3099590742007
790000,294.2950728725231
791000,297.4616596168807
792000,294.7325812560128
793000,294.77442289609866
794000,296.47369415173745
795000,296.93220498358755
796000,294.8593067342522
797000,297.30529458246116
798000,296.4214669136368
799000,297.0453876952826
800000,294.8810845792527
801000,296.4278707334757
802000,297.23717178604466
803000,298.7116032113595
804000,296.8758484741083
805000,295.2403789050944
806000,294.0538722794249
807000,296.4267463467927
808000,295.23334204699097
809000,296.3313340996021
810000,295.5954321565114
811000,295.9015624804293
812000,294.4682128519381
813000,294.4960403945674
814000,295.983369912594
815000,297.7310494584347
816000,297.88785487302243
817000,294.9145295465172
818000,294.69715031470463
819000,296.3583632377729
820000,298.4292837628674
821000,295.78576868870465
822000,294.75814307725284
823000,297.25463831621477
824000,297.8525968043282
825000,295.10240633397353
826000,297.7762342235968
827000,295.7266145907724
828000,298.51067032858856
829000,294.97692688065996
830000,294.126029026114
831000,297.42066576616315
832000,295.2831143819087
833000,295.27504038546624
834000,297.161873670495
835000,296.56764131767045
836000,295.3832988769879
837000,298.5246205403034
838000,297.1036788442641
839000,296.94122434105753
840000,295.1492407038693
841000,295.9059639340118
842000,297.2267833766076
843000,296.84739442358386
844000,295.851312159551
845000,295.7238787681204
846000,297.7727527845312
847000,295.0303715734513
848000,293.62354351168926
849000,296.27459354437104
850000,296.9387957620151
851000,296.649008780565
852000,296.83185951013394
853000,296.12962747103126
854000,295.7268392538282
855000,294.9446587125758
856000,296.68658929683255
857000,296.7036512024036
858000,296.41917062966485
859000,297.404459960452
860000,296.47918705194473
861000,296.1444564607368
862000,294.2973718903414
863000,293.2848986613669
864000,295.2378807189669
865000,295.46014943157377
866000,296.569624353657
867000,296.8416522073542
868000,294.9317022512835
869000,296.5207369253081
870000,294.82169681176293
871000,296.6366299842503
872000,294.4421557243697
873000,297.75538636384243
874000,295.54076148379136
875000,294.34779505859217
876000,294.45569982863674
877000,295.6799505678737
878000,295.13872875019763
879000,295.99501864990583
880000,296.735513144856
881000,297.61417837337825
882000,296.9385671321654
883000,297.5682196252824
884000,295.64255698575084
885000,299.0709061182773
886000,295.19142782151977
887000,296.168619849187
888000,294.40231220777156
889000,295.75666193010557
890000,297.7788212274039
891000,293.0170062369041
892000,295.86673170685384
893000,296.1001284903834
894000,298.21042742467876
895000,297.14915745310424
896000,296.7276745694773
897000,298.4852364121198
898000,295.54879960337934
899000,295.7797895541562
900000,297.5539002982595
901000,295.9149863444913
902000,295.9936522136369
903000,295.3150903855883
904000,295.87396431945757
905000,297.44123535859217
906000,296.40645957113645
907000,293.93235234590554
908000,295.2137415018255
909000,296.24855326248934
910000,296.7375162369863
911000,296.6940445376692
912000,296.5145013408751
913000,296.3816337546984
914000,296.70268615285255
915000,296.30823008925006
916000,295.9705812999674
917000,297.7002760644212
918000,294.3030557009792
919000,297.00281490921196
920000,295.4631005681553
921000,297.15942971474857
922000,298.0723964730798
923000,295.14012492550535
924000,297.05179608341444
925000,298.21930323351484
926000,293.848515860749
927000,297.4082253871379
928000,296.54615239910345
929000,296.67361367071044
930000,297.4556919935538
931000,296.23650773664366
932000,296.8516214508483
933000,295.1600430506057
934000,295.8927310230076
935000,296.4293519243089
936000,296.81458036250115
937000,296.75827007881117
938000,295.2955381391133
939000,294.5885166849988
940000,297.547042621095
941000,296.42477364001223
942000,293.73728508930407
943000,298.5137845406819
944000,295.83861654558893
945000,296.1483847019602
946000,298.69752437128153
947000,298.1204929861562
948000,297.74245012311485
949000,295.5375438843852
950000,295.04741494575933
951000,296.0705011884528
952000,294.6929184537962
953000,297.49396628673657
954000,293.88385209303834
955000,294.99729382459594
956000,295.45020665117
957000,297.58086330981945
958000,296.59572923270156
959000,296.6362813177313
960000,294.7305302176643
961000,297.99325819277755
962000,294.53502806450376
963000,296.5813348431375
964000,296.80867062038897
965000,296.110729200007
966000,296.14660429994325
967000,296.53150079628705
968000,295.1475888539084
969000,295.0052115881029
970000,296.7774762531194
971000,296.44620524132483
972000,298.19830865431527
973000,297.3376546338505
974000,295.96664174726584
975000,297.42877837587804
976000,296.71132976443937
977000,295.7701236955535
978000,296.6010960464132
979000,294.2224705915156
980000,294.7787377277904
981000,298.4866063260869
982000,295.3856357073054
983000,297.18046166751213
984000,294.9233294987331
985000,298.3329551013993
986000,295.95693810607577
987000,297.0713135843987
988000,297.9064068072599
989000,297.35381400717984
990000,295.3896201137626
991000,296.81875280278325
992000,295.5376308528966
993000,296.32454581394876
994000,297.599191299775
995000,296.79872773809916
996000,296.280125131634
997000,295.8308518891324
998000,297.6185932462206
999000,296.01911587946694
1000000,297.1552857049359
1001000,297.6197509828155
1002000,298.6680300738945
1003000,295.7032659034395
1004000,295.1010882167862
1005000,297.0900227273839
1006000,297.4667713458685
1007000,295.7275228134899
1008000,296.3884372789121
1009000,295.82806572625844
1010000,297.54012739266153
1011000,297.33994183692727
1012000,298.88131895623917
1013000,297.3256640640149
1014000,296.54711294965387
1015000,295.7625766045796
1016000,297.90096156276724
1017000,296.6599346286057
1018000,296.245087998549
1019000,296.2557736383149
1020000,295.8613079973674
1021000,298.0816041947429
1022000,297.3569728461309
1023000,295.06639597671324
1024000,297.2608602447631
1025000,296.3691501612337
1026000,298.252349496136
1027000,295.5462867613365
1028000,296.8170123576771
1029000,295.594103778525
1030000,295.49415097049996
1031000,296.80300414102516
1032000,295.81925142155154
1033000,296.04416771214784
1034000,296.5464825454822
1035000,294.5466967796334
1036000,297.0010460746534
1037000,297.0591127443369
1038000,297.6107611163089
1039000,295.8523964861123
1040000,296.9126395862751
1041000,297.373049979453
1042000,298.203953351356
1043000,297.5302448765335
1044000,297.3870580291747
1045000,295.16066624427896
1046000,297.03909880890194
1047000,295.5886789866839
1048000,295.3833801239801
1049000,296.657781101679
1050000,296.83112177436936
1051000,297.7925713763455
1052000,296.8816183075955
1053000,293.1050733147859
1054000,296.7482321548756
1055000,297.25193870148655
1056000,296.31734947784383
1057000,296.68676625414906
1058000,296.96003829164266
1059000,296.3615415791051
1060000,294.5426162229275
1061000,294.32371035334097
1062000,296.4817246433183
1063000,298.7199671160636
1064000,295.483074528818
1065000,295.0646781269487
1066000,296.62284311007124
1067000,295.5050608040924
1068000,298.062221600851
1069000,295.7069270858734
1070000,297.206262793987
1071000,297.61057615091136
1072000,296.0003908801862
1073000,298.40542569692036
1074000,296.1909777249015
1075000,296.8691480347215
1076000,295.3078294021784
1077000,295.3964837125438
1078000,297.22903287772414
1079000,295.0030787709623
1080000,296.30820915052965
1081000,295.22159093511317
1082000,296.53439641499557
1083000,298.2573688414661
1084000,295.7417752442012
1085000,297.0280349037213
1086000,297.3495616803044
1087000,295.564402131439
1088000,294.939659054812
1089000,295.124697447622
1090000,296.8102954397671
1091000,297.1657510749459
1092000,294.3873257541203
1093000,295.5890122058059
