#"Step","Temperature (K)"
701000,295.7073931219568
702000,295.6922346336565
703000,294.7845022168476
704000,295.8592159505264
705000,296.8585096717512
706000,297.0705127383967
707000,298.18514117323633
708000,295.3147932835554
709000,295.0766053320918
710000,294.85026545611845
711000,296.53294432556004
712000,296.79449372504376
713000,295.8146970993151
714000,297.9272747356375
715000,295.6391902685785
716000,296.4069162000088
717000,295.88056961872906
718000,297.318693016151
719000,296.75197379686534
720000,295.0170891512749
721000,296.08619687659206
722000,295.9768035649494
723000,296.61226697764033
724000,294.63534904449324
725000,296.49898964130523
726000,297.5074089273022
727000,296.2888360067255
728000,297.2117242354559
729000,295.61889947192424
730000,296.0669589309184
731000,295.6464393966849
732000,294.0227616871124
733000,294.381678013921
734000,297.688359731645
735000,297.66756196636595
736000,294.75124201960494
737000,295.7887469202122
738000,296.46848300257193
739000,296.43949848888815
740000,296.7088257663193
741000,295.8175788024611
742000,297.4335432304444
743000,296.09607755780434
744000,296.54966367043465
745000,296.5034348929952
746000,295.9738970441062
747000,295.6745434471466
748000,296.4014198791497
749000,295.408354452309
750000,296.8554959838264
751000,297.45917296571366
752000,297.32275961965627
753000,295.16816389415624
754000,296.5211689433672
755000,297.2286770971766
756000,296.99727260153117
757000,296.34181980639886
758000,299.29776695916536
759000,298.2054526014865
760000,297.22209608111194
761000,297.3709822703559
762000,295.8792831902959
763000,296.2015076238968
764000,297.83380921716275
765000,297.04159063687734
766000,296.0417052583758
767000,298.28343017062014
768000,294.8413618454936
769000,295.76943325582874
770000,297.53779060543275
771000,295.1256510568137
772000,295.9070174578602
773000,297.42506737339204
774000,295.31066077895923
775000,297.08055175188935
776000,296.6489752862685
777000,295.72437643315584
778000,295.95396619913504
779000,296.0076306846685
780000,296.3401227142048
781000,296.52986811117864
782000,296.72987099746916
783000,294.3781303607697
784000,296.4771456272456
785000,298.34652018985156
786000,296.2427525291612
787000,296.72427343224587
788000,296.4879966773395
789000,296.79829791611724
790000,296.50746225286116
791000,296.6840597922658
792000,298.99941564407453
793000,295.8117310730811
794000,297.1073899307991
795000,295.91743925259124
796000,296.7671527607007
797000,296.80307456181646
798000,296.86330319051535
799000,294.82182078949575
800000,296.30770421264623
801000,298.0410057889801
802000,296.1808048814047
803000,296.7194760236043
804000,296.8306392294323
805000,296.80558383266697
806000,295.5156599876428
807000,296.2114090407692
808000,295.64517416729853
809000,296.3447157942325
810000,295.3916270013854
811000,296.0003249047435
812000,296.37082756043736
813000,297.4304142587738
814000,296.5367515024558
815000,296.21299240600865
816000,296.3925336590444
817000,296.7758876004479
818000,296.6148699384257
819000,296.8496002912135
820000,294.72607112909657
821000,295.23090668753537
822000,296.1007720421349
823000,297.1637130541535
824000,295.5650502282756
825000,294.56205265584947
826000,298.0792515605532
827000,294.23138506221017
828000,297.4018544948501
829000,295.7778648857554
830000,295.62982836126736
831000,296.3505848375579
832000,294.68381546714306
833000,294.72676326609354
834000,298.12156728702604
835000,295.9279487164046
836000,295.69757399905893
837000,296.8008583358816
838000,295.37748857960287
839000,294.2414375114654
840000,295.2709417767742
841000,296.84662874490004
842000,294.0194860742356
843000,298.01322110729745
844000,295.7455998018573
845000,297.7378820011285
846000,296.5912445134729
847000,296.0081966422226
848000,298.73615016258213
849000,297.15279421267593
850000,294.7337838193555
851000,297.1224269582653
852000,294.26735099789306
853000,296.8707099592648
854000,297.24130910447974
855000,295.6914267789396
856000,296.4043623705747
857000,296.86971513620915
858000,297.8475964029307
859000,294.5250803225242
860000,297.14524949888096
861000,295.82006712724944
862000,296.58843115995643
863000,295.4824775391673
864000,295.29387879406636
865000,296.65259682865644
866000,297.1027286207479
867000,295.10558986611255
868000,296.84426384686583
869000,296.2813224413348
870000,296.0643997436479
871000,296.56087099590127
872000,296.20667038601664
873000,295.8671100616596
874000,296.5979686415689
875000,294.7229578573513
876000,295.7101063283926
877000,297.03885964825815
878000,297.01834559827876
879000,297.5595213131476
880000,295.8338363040307
881000,297.447381359358
882000,297.21985269067477
883000,297.6125167641843
884000,296.54369071691883
885000,296.3401505767975
886000,297.00646787367094
887000,296.82925102805643
888000,296.3160030877798
889000,295.1532512413102
890000,296.42588216347997
891000,296.54553470404244
892000,298.8210934746156
893000,295.21664297087676
